key,time
s, 1503433798351 
s, 1503433800013 
;, 1503433800637 
s, 1503433801245 
;, 1503433801869 
s, 1503433802509 
;, 1503433803149 
s, 1503433803788 
;, 1503433804428 
s, 1503433805052 
;, 1503433805676 
s, 1503433806284 
;, 1503433806924 
s, 1503433807548 
;, 1503433808203 
s, 1503433808827 
;, 1503433809435 
s, 1503433810013 
;, 1503433810668 
s, 1503433811292 
;, 1503433811916 
s, 1503433812493 
;, 1503433813101 
s, 1503433813679 
s, 1503433814973 
;, 1503433815690 
s, 1503433816252 
;, 1503433816876 
s, 1503433817515 
;, 1503433818124 
