key,time
s, 1498482388516 
s, 1498482389994 
;, 1498482390649 
s, 1498482391336 
;, 1498482391913 
s, 1498482392584 
;, 1498482393255 
s, 1498482393879 
;, 1498482394503 
s, 1498482395142 
;, 1498482395813 
s, 1498482396499 
;, 1498482397108 
s, 1498482397794 
;, 1498482398434 
s, 1498482399120 
;, 1498482399760 
s, 1498482400446 
;, 1498482401055 
s, 1498482401710 
;, 1498482402381 
s, 1498482403051 
;, 1498482403707 
s, 1498482404377 
;, 1498482405001 
s, 1498482405672 
;, 1498482406296 
s, 1498482406936 
;, 1498482407575 
s, 1498482408215 
