key,time
S, 1499805357577 
;, 1499805358397 
S, 1499805359039 
;, 1499805359975 
S, 1499805360599 
;, 1499805361286 
S, 1499805361863 
;, 1499805362456 
S, 1499805363095 
;, 1499805363766 
S, 1499805364375 
;, 1499805365030 
S, 1499805365623 
;, 1499805366278 
S, 1499805366886 
;, 1499805367479 
S, 1499805368072 
;, 1499805368680 
S, 1499805369242 
;, 1499805369897 
S, 1499805370490 
;, 1499805371145 
S, 1499805371722 
;, 1499805372315 
S, 1499805372892 
;, 1499805373485 
S, 1499805374078 
;, 1499805374655 
S, 1499805375232 
;, 1499805375841 
S, 1499805376465 
;, 1499805377104 
