key,time
s, 1497990634957 
;, 1497990635571 
s, 1497990636086 
;, 1497990636601 
s, 1497990637100 
;, 1497990637599 
s, 1497990638114 
;, 1497990638644 
s, 1497990639175 
;, 1497990639674 
s, 1497990640204 
;, 1497990640688 
s, 1497990641187 
;, 1497990641686 
s, 1497990642217 
;, 1497990642685 
s, 1497990643215 
;, 1497990643667 
s, 1497990644213 
;, 1497990644713 
s, 1497990645274 
;, 1497990645773 
s, 1497990646304 
;, 1497990646787 
s, 1497990647302 
;, 1497990647770 
s, 1497990648285 
;, 1497990648706 
s, 1497990649190 
;, 1497990649642 
s, 1497990650110 
;, 1497990650547 
s, 1497990651015 
;, 1497990651436 
s, 1497990651889 
;, 1497990652325 
s, 1497990652762 
;, 1497990653183 
d, 1497990653620 
s, 1497990653636 
;, 1497990654463 
