key,time
s, 1502744877603 
;, 1502744878265 
s, 1502744878920 
;, 1502744879466 
s, 1502744880090 
;, 1502744880605 
s, 1502744881198 
;, 1502744881791 
s, 1502744882384 
;, 1502744882992 
s, 1502744883616 
;, 1502744884224 
s, 1502744884817 
;, 1502744885394 
s, 1502744885972 
;, 1502744886580 
s, 1502744887188 
;, 1502744887781 
s, 1502744888358 
;, 1502744888982 
s, 1502744889606 
;, 1502744890230 
s, 1502744890839 
;, 1502744891447 
s, 1502744892087 
;, 1502744892648 
s, 1502744893226 
;, 1502744893787 
s, 1502744894349 
;, 1502744894926 
s, 1502744895519 
;, 1502744896112 
s, 1502744896642 
;, 1502744897219 
