key,time
s, 1498595988157 
;, 1498595988603 
s, 1498595989009 
;, 1498595989352 
s, 1498595989711 
w, 1498595989742 
;, 1498595990070 
s, 1498595990444 
;, 1498595990787 
s, 1498595991162 
;, 1498595991474 
s, 1498595991817 
;, 1498595992160 
s, 1498595992519 
;, 1498595992862 
s, 1498595993205 
;, 1498595993549 
s, 1498595993892 
;, 1498595994235 
s, 1498595994594 
l, 1498595994921 
;, 1498595994937 
s, 1498595995311 
a, 1498595995327 
;, 1498595995670 
s, 1498595996060 
d, 1498595996076 
;, 1498595996435 
', 1498595996450 
s, 1498595996809 
;, 1498595997183 
', 1498595997199 
s, 1498595997605 
;, 1498595997963 
s, 1498595998338 
;, 1498595998697 
s, 1498595999087 
;, 1498595999445 
s, 1498595999835 
;, 1498596000179 
s, 1498596000553 
;, 1498596000896 
s, 1498596001286 
;, 1498596001629 
s, 1498596001988 
;, 1498596002331 
s, 1498596002706 
a, 1498596002721 
;, 1498596003033 
s, 1498596003377 
;, 1498596003735 
s, 1498596004063 
;, 1498596004391 
', 1498596004406 
s, 1498596004734 
;, 1498596005093 
s, 1498596005436 
;, 1498596005795 
s, 1498596006138 
;, 1498596006465 
s, 1498596006824 
;, 1498596007167 
s, 1498596007526 
;, 1498596007854 
