key,time
s, 1500902006880 
;, 1500902007487 
s, 1500902008516 
;, 1500902009094 
s, 1500902009811 
;, 1500902010404 
s, 1500902011168 
;, 1500902011808 
s, 1500902012494 
;, 1500902013165 
s, 1500902013914 
;, 1500902014554 
s, 1500902015302 
;, 1500902015973 
s, 1500902016675 
;, 1500902017362 
s, 1500902018095 
;, 1500902018750 
s, 1500902019452 
;, 1500902020092 
s, 1500902020840 
;, 1500902021527 
s, 1500902022307 
;, 1500902022946 
s, 1500902023617 
;, 1500902024272 
s, 1500902025068 
;, 1500902025723 
s, 1500902026488 
