key,time
s, 1502828204241 
;, 1502828204691 
s, 1502828205003 
;, 1502828205378 
s, 1502828205705 
;, 1502828206049 
', 1502828206064 
s, 1502828206376 
;, 1502828206704 
s, 1502828207047 
;, 1502828207359 
s, 1502828207687 
;, 1502828207999 
s, 1502828208326 
;, 1502828208623 
s, 1502828208950 
;, 1502828209262 
', 1502828209278 
s, 1502828209621 
;, 1502828209918 
s, 1502828210261 
;, 1502828210588 
s, 1502828210932 
;, 1502828211244 
s, 1502828211602 
;, 1502828211930 
s, 1502828212226 
;, 1502828212538 
s, 1502828212866 
;, 1502828213178 
s, 1502828213506 
;, 1502828213818 
s, 1502828214161 
;, 1502828214473 
s, 1502828214816 
a, 1502828214832 
;, 1502828215128 
s, 1502828215487 
;, 1502828215814 
s, 1502828216173 
;, 1502828216485 
s, 1502828216813 
;, 1502828217140 
s, 1502828217468 
;, 1502828217811 
s, 1502828218139 
', 1502828218466 
;, 1502828218482 
s, 1502828218810 
a, 1502828218841 
;, 1502828219137 
s, 1502828219480 
;, 1502828219824 
s, 1502828220167 
;, 1502828220494 
s, 1502828220853 
;, 1502828221165 
s, 1502828221524 
;, 1502828221836 
s, 1502828222164 
;, 1502828222491 
s, 1502828222850 
;, 1502828223178 
s, 1502828223536 
;, 1502828223864 
s, 1502828224192 
