key,time
s, 1498482284293 
;, 1498482285205 
s, 1498482285845 
;, 1498482286613 
s, 1498482287285 
;, 1498482288029 
s, 1498482288694 
;, 1498482289437 
s, 1498482290125 
;, 1498482290813 
s, 1498482291509 
;, 1498482292253 
s, 1498482292941 
;, 1498482293653 
s, 1498482294341 
;, 1498482295109 
s, 1498482295765 
;, 1498482296485 
s, 1498482297117 
;, 1498482297853 
s, 1498482298533 
;, 1498482299221 
s, 1498482299909 
;, 1498482300853 
s, 1498482301525 
;, 1498482302197 
s, 1498482302893 
;, 1498482303565 
s, 1498482304245 
