key,time
s, 1499289294325 
;, 1499289295196 
s, 1499289295932 
;, 1499289296755 
s, 1499289297459 
;, 1499289298171 
s, 1499289298827 
;, 1499289299635 
s, 1499289300331 
;, 1499289301059 
s, 1499289301739 
;, 1499289302484 
s, 1499289303139 
;, 1499289303868 
s, 1499289304516 
;, 1499289305219 
s, 1499289305859 
;, 1499289306587 
s, 1499289307251 
;, 1499289307979 
s, 1499289308635 
;, 1499289309388 
s, 1499289310076 
;, 1499289310820 
s, 1499289311492 
;, 1499289312244 
s, 1499289312900 
;, 1499289313636 
s, 1499289314324 
