key,time
s, 1502828414064 
;, 1502828414478 
s, 1502828414868 
;, 1502828415242 
s, 1502828415570 
;, 1502828415929 
s, 1502828416256 
;, 1502828416646 
s, 1502828416990 
l, 1502828417333 
;, 1502828417348 
s, 1502828417692 
;, 1502828418050 
l, 1502828418066 
s, 1502828418409 
;, 1502828418784 
l, 1502828418799 
s, 1502828419142 
;, 1502828419501 
s, 1502828419876 
;, 1502828420234 
s, 1502828420624 
;, 1502828420968 
s, 1502828421342 
;, 1502828421685 
s, 1502828422044 
;, 1502828422387 
s, 1502828422746 
;, 1502828423089 
s, 1502828423432 
;, 1502828423776 
l, 1502828423807 
s, 1502828424134 
a, 1502828424150 
;, 1502828424509 
s, 1502828424883 
;, 1502828425273 
s, 1502828425663 
;, 1502828426038 
s, 1502828426474 
;, 1502828426818 
l, 1502828426849 
s, 1502828427192 
;, 1502828427551 
s, 1502828427941 
;, 1502828428284 
s, 1502828428643 
;, 1502828428970 
s, 1502828429329 
;, 1502828429672 
s, 1502828430016 
l, 1502828430343 
;, 1502828430374 
s, 1502828430718 
;, 1502828431092 
s, 1502828431466 
;, 1502828431825 
s, 1502828432200 
;, 1502828432558 
s, 1502828432948 
a, 1502828432964 
l, 1502828433292 
;, 1502828433307 
s, 1502828433650 
;, 1502828434025 
