key,time
s, 1500409521276 
p, 1500409521746 
;, 1500409521761 
s, 1500409522182 
;, 1500409522609 
s, 1500409523045 
;, 1500409523482 
s, 1500409523888 
;, 1500409524293 
s, 1500409524699 
;, 1500409525105 
s, 1500409525495 
;, 1500409525885 
s, 1500409526306 
;, 1500409526711 
s, 1500409527117 
;, 1500409527538 
s, 1500409527959 
', 1500409528381 
;, 1500409528396 
[, 1500409528412 
s, 1500409529067 
;, 1500409529519 
s, 1500409529987 
;, 1500409530393 
s, 1500409530830 
;, 1500409531251 
s, 1500409531688 
;, 1500409532109 
s, 1500409532546 
;, 1500409532951 
s, 1500409533404 
;, 1500409533794 
s, 1500409534262 
;, 1500409534667 
s, 1500409535104 
;, 1500409535494 
s, 1500409535947 
;, 1500409536337 
d, 1500409536758 
s, 1500409536773 
;, 1500409537491 
s, 1500409537959 
;, 1500409538411 
s, 1500409538942 
;, 1500409539379 
s, 1500409539815 
;, 1500409540205 
s, 1500409540642 
;, 1500409541032 
