key,time
s, 1497990682890 
;, 1497990683380 
s, 1497990683848 
;, 1497990684301 
s, 1497990684800 
;, 1497990685268 
s, 1497990685783 
;, 1497990686235 
s, 1497990686750 
;, 1497990687202 
s, 1497990687670 
;, 1497990688123 
s, 1497990688606 
;, 1497990689105 
s, 1497990689605 
;, 1497990690104 
s, 1497990690619 
;, 1497990691133 
s, 1497990691633 
;, 1497990692210 
s, 1497990692803 
;, 1497990693317 
s, 1497990693848 
;, 1497990694363 
s, 1497990694893 
;, 1497990695455 
s, 1497990695985 
;, 1497990696531 
s, 1497990697093 
;, 1497990697654 
s, 1497990698216 
;, 1497990698699 
s, 1497990699292 
;, 1497990699823 
s, 1497990700384 
;, 1497990700899 
s, 1497990701445 
;, 1497990701944 
s, 1497990702490 
