key,time
S, 1499805459872 
;, 1499805460565 
S, 1499805461142 
;, 1499805461719 
S, 1499805462328 
;, 1499805462936 
S, 1499805463560 
;, 1499805464153 
S, 1499805464746 
;, 1499805465385 
S, 1499805465978 
;, 1499805466571 
S, 1499805467133 
;, 1499805467741 
S, 1499805468303 
;, 1499805468895 
S, 1499805469426 
;, 1499805470034 
S, 1499805470643 
;, 1499805471251 
S, 1499805471875 
;, 1499805472468 
S, 1499805473029 
;, 1499805473638 
S, 1499805474231 
;, 1499805474839 
S, 1499805475401 
;, 1499805475978 
S, 1499805476539 
;, 1499805477085 
S, 1499805477600 
;, 1499805478240 
S, 1499805478848 
;, 1499805479394 
