key,time
s, 1498596072540 
;, 1498596072928 
s, 1498596073303 
l, 1498596073677 
s, 1498596074114 
;, 1498596074535 
s, 1498596074909 
;, 1498596075331 
s, 1498596075689 
;, 1498596076079 
s, 1498596076438 
;, 1498596076828 
s, 1498596077187 
;, 1498596077577 
s, 1498596077967 
;, 1498596078357 
s, 1498596078731 
;, 1498596079106 
s, 1498596079480 
;, 1498596079855 
s, 1498596080229 
;, 1498596080619 
s, 1498596081009 
;, 1498596081399 
s, 1498596081773 
;, 1498596082148 
s, 1498596082507 
;, 1498596082881 
s, 1498596083255 
;, 1498596083614 
s, 1498596083973 
;, 1498596084363 
s, 1498596084800 
a, 1498596084815 
;, 1498596085159 
s, 1498596085517 
;, 1498596085907 
s, 1498596086297 
;, 1498596086672 
s, 1498596087062 
;, 1498596087467 
s, 1498596087857 
;, 1498596088247 
s, 1498596088669 
l, 1498596089043 
;, 1498596089059 
s, 1498596089417 
;, 1498596089776 
s, 1498596090166 
;, 1498596090556 
s, 1498596090946 
;, 1498596091321 
s, 1498596091695 
;, 1498596092069 
s, 1498596092444 
