key,time
s, 1500901933259 
;, 1500901934430 
s, 1500901935163 
;, 1500901935803 
s, 1500901936427 
;, 1500901937035 
s, 1500901937706 
;, 1500901938330 
s, 1500901938985 
;, 1500901939562 
s, 1500901940202 
;, 1500901940826 
s, 1500901941481 
;, 1500901942168 
s, 1500901942792 
;, 1500901943431 
s, 1500901944102 
;, 1500901944804 
s, 1500901945568 
;, 1500901946146 
s, 1500901946754 
;, 1500901947394 
s, 1500901948033 
;, 1500901948626 
s, 1500901949281 
;, 1500901949874 
s, 1500901950482 
;, 1500901951106 
s, 1500901951730 
;, 1500901952354 
s, 1500901952978 
