key,time
s, 1499289454430 
;, 1499289455234 
s, 1499289456014 
;, 1499289456747 
s, 1499289457512 
;, 1499289458245 
s, 1499289459040 
;, 1499289459711 
s, 1499289460476 
;, 1499289461162 
s, 1499289461911 
;, 1499289462535 
s, 1499289463299 
;, 1499289463939 
s, 1499289464703 
;, 1499289465327 
s, 1499289466138 
;, 1499289466762 
s, 1499289467480 
;, 1499289468120 
s, 1499289468931 
;, 1499289469570 
s, 1499289470382 
;, 1499289471021 
s, 1499289471801 
;, 1499289472441 
s, 1499289473283 
;, 1499289473907 
