key,time
s, 1500409423687 
;, 1500409424221 
s, 1500409424752 
d, 1500409424767 
l, 1500409425220 
;, 1500409425235 
s, 1500409425719 
;, 1500409426218 
s, 1500409426749 
;, 1500409427217 
s, 1500409427685 
;, 1500409428153 
s, 1500409428605 
d, 1500409428621 
;, 1500409429057 
s, 1500409429525 
l, 1500409430009 
;, 1500409430025 
s, 1500409430633 
;, 1500409431054 
s, 1500409431507 
;, 1500409431928 
s, 1500409432396 
;, 1500409432833 
s, 1500409433301 
;, 1500409433753 
s, 1500409434315 
;, 1500409434767 
s, 1500409435266 
;, 1500409435687 
s, 1500409436202 
;, 1500409436639 
s, 1500409437123 
l, 1500409437528 
;, 1500409437544 
s, 1500409438027 
;, 1500409438480 
s, 1500409438948 
;, 1500409439369 
s, 1500409439853 
;, 1500409440289 
s, 1500409440773 
;, 1500409441194 
s, 1500409441647 
;, 1500409442083 
', 1500409442130 
d, 1500409442583 
;, 1500409443363 
